251.4328286,144.2111506,299.729095,375.8344039,322.5107665,319.5549281,143.858708
303.4270539,194.476997,507.8945004,594.8641612,547.2552032,492.1251308,208.8323366
133.7142028,67.89552127,195.7784321,289.3710062,207.2285393,205.5889008,97.82230667
128.3593753,80.81295704,166.2197176,185.1631215,178.0792877,174.1925617,82.4091807
121.3362217,72.52167285,232.8361159,257.2880659,249.2787568,224.8698821,91.7229406
106.0735588,50.93144573,169.6185198,164.597143,164.7534661,175.910501,70.9032333
231.5495875,457.7002066,383.7582211,393.6613969,393.7573918,374.7847966,186.257314
368.1806763,140.6338109,415.0054896,461.4072479,438.8094375,406.6894398,164.3960828
652.3210686,644.7115872,989.8149693,1268.538358,1047.212045,914.9357145,511.7138816
169.8618969,200.0147843,325.8790806,366.448458,354.4361383,312.7613573,150.3734324
255.9344912,198.642129,402.5226792,457.8041873,429.8195176,386.8197986,180.469006
488.4461699,-11880.68299,488.4489925,466.8928344,461.0472134,483.750391,170.6183986
127.8490902,73.81618416,209.170303,205.1921725,205.3450564,207.910202,86.81335299
251.0249638,-572.8735751,356.7900246,437.3085799,380.4707847,354.6352915,160.7153458
203.417267,-14017.93209,231.5843215,225.3579681,225.7570311,239.2113501,76.56535999
245.4799466,38.87039341,296.4219235,283.3352611,280.7923752,293.6202068,114.4329249
89.65597231,46.16832692,178.4831795,180.5641301,181.2729365,175.0641647,75.53539167
60.18986929,-43640.52664,149.793424,152.1015872,153.3049203,154.2874479,58.78743533
281.8143455,230.8049411,452.4961722,500.4913567,483.2367124,413.870687,236.7969396
155.0590457,153.3349759,301.5184058,341.4261355,326.288015,282.0491881,122.5891359
205.9210725,136.8602037,297.3811856,308.1553471,306.9019428,280.5514144,136.0034776
145.2964814,-54.84342017,211.2048526,233.7696846,225.190238,209.7716304,79.96947001
166.0227639,305.6513938,251.1889348,264.5979484,262.0117733,261.3534812,222.9239089
181.9984007,70.30522845,233.9838748,215.9820661,211.9718081,229.2130394,79.1893767
337.1979919,146.2001116,330.9304416,345.3054625,342.1457594,333.3593142,129.9337563
153.1459471,-26107.9256,309.8557618,340.9794959,333.1267503,328.2338492,163.5370816
258.3845643,84.50876144,309.0308555,438.8240211,340.5691197,316.5149474,160.3339377
210.4257571,-48535.98542,210.7609006,250.1926294,228.3356354,216.0455161,94.08100487
380.2596074,215.9307577,576.1350123,637.7136563,615.3591519,538.1955294,281.7924413
81.96137605,8.678274093,176.70137,181.2713737,182.1944611,183.358646,79.66893622
254.8450089,-30876.98122,323.7708251,330.623174,330.0422428,335.7017622,144.1768044
1975.866946,1185.697159,1768.399267,3270.016521,1532.40094,1752.506639,1025.462878
734.8618422,1518.831872,1278.582385,1662.821502,1337.134694,1174.23032,682.7752399
1426.9064,866.3823916,1744.023787,3179.486521,1633.174058,1744.258775,940.0450422
1572.611643,1234.40839,2444.923498,3035.667345,2625.975628,2182.084173,1184.438559
1669.740909,1537.670606,2514.455614,3441.405909,2341.536861,2366.111363,1411.694712
1176.383439,1895.37256,1821.213137,2411.452135,1823.239936,1888.005774,941.3595552
5583.936697,2777.555255,6147.815847,10853.35743,4523.434997,5834.213528,3543.300887
2341.79421,1612.297143,2883.23827,4461.849736,2509.836257,2996.848691,1600.821843
4227.02343,3258.027931,4821.641254,7848.583258,3642.877831,4841.76764,2934.106005
1572.228823,445.3628055,1178.658133,2628.310206,1006.770821,1564.738208,845.2583216
1814.522231,1401.343527,2645.470061,3751.020905,2619.304907,2450.059186,1319.816587
291.3676853,311.6544744,546.0475126,618.9609704,591.8227032,499.7982904,250.1824195
115.0823399,87.83480293,191.5045542,201.1825917,199.4374379,207.7515011,85.42269874
156.807698,98.88051937,219.6694896,213.6284709,213.7561451,217.8122347,106.1249815
221.017107,168.146445,337.6520699,438.3681665,366.3926293,349.0981782,162.1463209
96.98293511,69.79550878,173.4445098,200.7456607,189.1746491,174.1925617,85.54455995
132.2908466,68.10691885,175.3722195,209.2316176,190.4053603,188.1514037,80.46944549
181.2724586,-28600.75132,289.6632548,345.7477048,315.9195303,307.4316863,106.3074614
149.3548036,-32897.07331,170.8147474,170.3386069,170.5417078,193.4246128,67.59742171
148.5170545,123.992894,244.4854875,289.0431918,265.1442478,262.1331149,105.8116392
715.8334714,648.0657123,1039.599023,1511.54091,1041.128841,1004.415182,585.3353964
237.4868236,114.6958467,301.6020768,369.7446161,325.3302521,303.8031166,125.8728073
