Tianjin,15.62,Tianjin (15.62)
Haerbin,5.12,Haerbin (5.12)
Nanjing,6.53,Nanjing (6.53)
Xuzhou,3.05,Xuzhou (3.05)
Suzhou,3.41,Suzhou (3.41)
Huaiyin,2.49,Huaiyin (2.49)
Hangzhou,9.12,Hangzhou (9.12)
Ningbo,3.49,Ningbo (3.49)
Wenzhou,3.04,Wenzhou (3.04)
Taizhou,1.90,Taizhou (1.9)
Hefei,3.85,Hefei (3.85)
Bengbu,0.97,Bengbu (0.97)
Anqing,0.60,Anqing (0.6)
Fuyang,1.77,Fuyang (1.77)
Liuan,1.64,Liuan (1.64)
Bozhou,1.41,Bozhou (1.41)
Fuzhou,3.94,Fuzhou (3.94)
Putian,1.95,Putian (1.95)
Nanchang,2.94,Nanchang (2.94)
Jiujiang,0.70,Jiujiang (0.7)
Xinyu,0.84,Xinyu (0.84)
Ganzhou,1.59,Ganzhou (1.59)
Yichun,1.08,Yichun (1.08)
Fuzhou,1.70,Fuzhou (1.7)
Shangrao,1.87,Shangrao (1.87)
Zhengzhou,7.00,Zhengzhou (7)
Nanyang,1.90,Nanyang (1.9)
Shangqiu,1.54,Shangqiu (1.54)
Xinyang,0.60,Xinyang (0.6)
Zhoukou,0.60,Zhoukou (0.6)
Zhumadian,0.72,Zhumadian (0.72)
Huangshi,0.88,Huangshi (0.88)
Shiyan,0.70,Shiyan (0.7)
Yichang,1.70,Yichang (1.7)
Xiangfan,1.23,Xiangfan (1.23)
Ezhou,0.44,Ezhou (0.44)
Jingmen,0.55,Jingmen (0.55)
Xiaogan,0.55,Xiaogan (0.55)
Jingzhou,0.86,Jingzhou (0.86)
Huanggang,0.32,Huanggang (0.32)
Xianning,0.41,Xianning (0.41)
Suizhou,0.51,Suizhou (0.51)
Changsha,4.41,Changsha (4.41)
Zhuzhou,1.15,Zhuzhou (1.15)
Shaoyang,0.68,Shaoyang (0.68)
Yueyang,0.86,Yueyang (0.86)
Changde,0.95,Changde (0.95)
Loudi,3.78,Loudi (3.78)
Zhuhai,1.56,Zhuhai (1.56)
Huizhou,2.34,Huizhou (2.34)
Dongguan,8.22,Dongguan (8.22)
Chongqing,22.30,Chongqing (22.3)
Xian,7.14,Xian (7.14)
